AA804,PRIV,2166,HEA,M45,FF 6-10-41 1PRU 7-10-41 HAL 30-11-41 mods 1PRU 7-12-41 Missing from PR mission to Dusseldorf 28-12-41
AA805,PRIV,2167,HEA,M45,FF 6-10-41 1PRU Benson 7-10-41 overshot landing overturned on return from PR mission Benson CB 13-2-42 recat E SOC 22-2-42
AA806,PRIV,2195,HEA,M45,FF 14-10-41 1PRU 19-10-41 543S 30-9-42 Missing from PR mission to Cherbourg 28-10-42 FH238
AA807,PRIV,2176,HEA,M45,FF 9-10-41 (W camera) 1PRU 13-10-41 CE ops 19-2-42 541S 30-7-42 CB ops 16-4-43 543S 21-6-43 HAL 19-10-43 M46 install 4S 19-3-44 SOC 12-3-45
AA808,PRIV,2185,HEA,M45,FF 11-10-41 (W camera) 1PRU 13-10-41 HAL 18-2-42 mods 541S 30-9-42 FAAC 15-2-43 CB ops 4-3-43 543S 7-7-43 AST 10-8-43
AA809,PRIV,2207,HEA,M45,FF 17-10-41 1PRU 19-10-41 543S 30-9-42 Missing from PR mission to Lorient CE 13-2-43
AA810,PRIV,2203,HEA,M45,FF 17-10-41 1PRU 19-10-41 Missing from PR mission to Trondheim 5-3-42
AA811,PRIV,2208,HEA,M45,FF 19-10-41 (W camera) 1PRU 20-10-41 543S 7-11-42 Engine cut abandoned 60m S of The Lizard Cornwall on return from PR mission to Lannion 3-7-43
AA812,PRIV,2213,HEA,M45,FF 22-10-41 1PRU 24-10-41 FACE 24-10-41 HAL 10-4-42
AA813,PRIV,2219,HEA,M45,FF 24-10-41 1PRU 28-10-41 hit snowbank landing Topcliffe CE 24-1-42 SOC 27-1-42
AA814,PRIV,2221,HEA,M45,FF 25-10-41 1PRU 26-10-41 Missing from PR mission to Kiel 17-8-42
AA815,PRIVT,2234,HEA,M45,FF 28-10-41 1PRU 30-10-41 FAAC 11-4-42 HAL 1OADU 29-4-43 Middle East 1-5-43 Swung on landing into soft ground and u/c collapsed Petah Tiqva 8-3-45 SOC 31-5-45
AA833,Vb,2109,EA,M45,FF 19-9-41 24MU 24-9-41 411S 6-10-41 AFDU Duxford 9-11-41 service trials elev inertia weight gun heat 411S fast landing struck hangar Hornchurch CB 8-1-42 ASTE 167S 22-9-42 610S 14-10-42 131S 25-1-43 310S 30-6-43 FACB 10-8-43 345S 3-4-44 CAC ops 22-6-44 410RSU 13-7-44 Ran out of fuel and hit tree in forced landing Fairoak Lane Oxshott Surrey 26-8-44 CE 11-9-44
AA834,Vb,2110,EA,M45,FF 20-9-41 24MU 24-9-41 403S 3-10-41 FAAC ros 29-12-41 Collided with BM123 nr Le Touquet 27-4-42 F/Lt H P Duval MID killed
AA835,Vb,2111,EA,M45,FF 20-9-41 24MU 24-9-41 403S 3-10-41 FACB 15-1-42 MM 4-4-42 350S Missing on Boston escort to Hazebrouck Circus 195 29-6-42
AA836,Vb,2117,EA,M45M,LFVb FF 22-9-41 24MU 24-9-41 411S 11-10-41 132S 1-9-42 CAC ops 6-12-42 ros 91S 25-1-43 122S 12-5-43 AST 7-7-43 130S 27-1-44 222S 16-2-44 276S 11-7-44 FRU 14-9-44 SOC 27-9-45
AA837,Vb,2118,EA,M45,"FF 22-9-41 24MU 26-9-41 501S ""SD-E"" 12-10-41 Damaged by Bf109 and forcelanded nr St.Lo 4-11-41"
AA838,Vb,2119,EA,M45,FF 23-9-41 12MU 24-9-41 91S 4-10-41 GAL 31-10-41 152S 25-5-42 swung on takeoff struck obst Eglinton CE 7-6-42 SOC 8-6-42
AA839,Vb,2120,EA,M45M,FF 23-9-41 12MU 27-9-41 411S 3-10-41 303S 14-8-42 CB ops 20-3-43 PPSM 28-3-43 mods 66S 11-10-43 340S 15-11-43 CE ops 5-12-43 AST 611S 26-5-44 53OTU 6-8-44 to 5348M 5SoTT SOC 29-11-44
AA840,Vb,2123,EA,M45,FF 24-9-41 12MU 27-9-41 411S 2-10-41 Missing nr Le Touquet 8-12-41 Sgt D A Court killed
AA841,Vb,2125,EA,M45,FF 25-9-41 12MU 28-9-41 412S 9-10-41 72S 14-4-42 121S 24-5-42 FACB 2-7-42 ros CA ops 19-8-42 335USAAF 1-10-42 121S u/c collapse on landing Debden CB SOC 20-1-43
AA842,Vb,2124,EA,M45,FF 25-9-41 12MU 27-9-41 457S 8-12-41 134S 11-2-42 FACB 6-6-42 Scottish Aviation M46 install 131S 3-2-43 CAC ops 22-6-43 LMS 315S 19-11-43 FAAC 27-12-43 ros 53OTU 17-7-44 SOC 18-5-45
AA843,Vb,2131,EA,M45,FF 26-9-41 12MU 29-9-41 412S 31-12-41 FAAC 30-1-42 ros 350S 24-2-42 93S 9-8-42 610S 16-11-42 131S 25-1-43 310S 30-6-43 313S 29-7-43 struck hill in cloud crashed Wormshill Kent CE 12-9-43
AA844,Vb,2132,EA,M45,FF 26-9-41 8MU 28-9-41 411S 2-10-41 air collision with AB265 into sea nr Manston 28-2-42 SOC 3-3-42
AA845,Vb,2136,EA,M45,FF 27-9-41 8MU 28-9-41 91S 2-10-41 Damaged by flak from E-boat and overshot landing into ditch Lympne CE 16-4-42
AA846,Vb,2137,EA,M45,FF 27-9-41 38MU 29-9-41 302S 15-10-41 FACB 21-3-42 AST 130S 30-9-42 421S 15-11-42 412S 3-2-43 602S 19-4-43 ASTH 4-8-43 341S 15-11-43 329S 23-2-44 63S 13-3-44 275S 25-5-44 SOC 20-2-45
AA847,Vb,2139,EA,M45,FF 29-9-41 38MU 3-10-41 316S 12-10-41 306S 12-12-41 enemy action CB 17-4-42 ASTE 306S 16-3-43 FAAC 23-7-43 ros 401S 24-9-43 345S Hit by flak on sweep to Dreux and crashed Vernon 10-7-44 Lt C Dop killed
AA848,Vb,2140,EA,M45M,LFLRVb FF 29-9-41 38MU 1-10-41 302S 11-10-41 VASM 13-6-42 316S 29-6-42 VASM 13-9-43 mods 132S 23-2-44 504S 14-5-44 63S 31-5-44 41OTU 1-2-45 58OTU 23-4-45 SOC to 5387M 17-7-45
AA849,Vb,2149,EA,M46,FF 30-9-41 38MU 1-10-41 VASM 23-10-41 mods 54S 30-10-41 124S 18-11-41 452S 3-3-42 Shot down by fighters on sweep to Mazingarbe off Berck CE 9-3-42 Sgt M W Hamilton killed
AA850,Vb,2150,EA,M45M,"FF 30-9-41 58MU 1-10-41 302S 13-10-41 VASM 31-8-42 mods FAAC 9-4-43 ros 302S ""WX-H"" and ""WX-U"" 27-4-43 132S 28-6-43 26S 3-4-44 air collision with W3314 landed Old Alresford Hants CE 22-7-44"
AA851,Vb,2164,EA,M46,FF 5-10-41 609S 7-11-41 124S 18-11-41 401S 25-11-41 452S 1-3-42 CB ops 14-3-42 457S 22-3-42 SOC CE 9-5-42 Super 31-12-42 Abandoned off Deal returning from escort 9-5-42 Sgt R A G Halliday killed
AA852,Vb,2151,EA,M45,FF 30-9-41 39MU 1-10-41 92S 4-10-41 417S 6-2-42 242S 18-4-42 RAE 6-42 243S 16-6-42 FACE 20-7-42 SOC 27-7-42
AA853,Vb,2157,EA,M45M,"LFLRVb FF 1-10-41 39MU 7-10-41 302S 13-10-41 FAAC 28-1-42 VASM 22-8-42 mods FACB 15-5-43 LMS 501S 9-11-43 350S ""MN-C"" 31-12-43 322S 11-1-44 Collided with AR498 while escorting Bostons and ditched off Tangmere CE 30-4-44"
AA854,Vb,2162,EA,M45,FF 3-10-41 39MU 7-10-41 302S 14-10-41 Shot down by Fw190s nr Le Havre 8-9-42
AA855,Vb,2165,EA,M45,"FF 5-10-41 39MU 7-10-41 71S ""XR-C"" 17-10-41 Hit by debris from train and crashlanded 27-10-41"
AA856,Vb,2170,EA,M45,"FF 7-10-41 39MU 10-10-41 302S ""Z"" 14-10-41 CAC ops 17-4-42 ros Shot down by Fw190s nr Le Havre 8-9-42 P/O J Urbanski killed"
AA857,Vb,2171,EA,M45,FF 7-10-41 39MU 10-10-41 71S 17-10-41 609S 5-1-42 350S 1-5-42 Shot down by flak off French coast CE 9-5-42 Sgt J A Blairon killed
AA858,Vb,2174,EA,M45,FF 8-10-41 33MU 11-10-41 316S 17-10-41 306S 12-12-41 FAAC 26-2-42 enemy action 3-5-42 ASTE 309S 31-7-42 302S 12-9-42 VASM 7-3-43 fuel syst mods wing stiff 611S 29-8-43 SOC 6-4-44
AA859,Vb,2177,EA,M45,FF 9-10-41 33MU 11-10-41 316S 16-10-41 306S 12-12-41 CE ops force-landed short of fuel in bad weather nr Prawle Devon 16-3-42 SOC
AA860,Vb,2180,EA,M45M,FF 10-10-41 33MU 11-10-41 316S 17-10-41 306S 12-12-41 FAAC 14-4-42 317S 4-5-42 CB ops 3-6-42 AST 67GrpUSAAF 18-2-43 303S 16-4-44 57OTU 2-8-44 Hit obstruction on low flying exercise 14-1-45 SOC 5-2-45 to 5028M
AA861,Vb,2182,EA,M45,FF 10-10-41 39MU 14-10-41 302S struck obst landing Harrowbeer CE 21-4-42 SOC
AA862,Vb,2211,EA,M45,FF 21-10-41 39MU 22-10-41 HAL 6-11-41 403S 8-6-42 FACB 14-7-42 Scottish Aviation VASM 25-8-43 fuel syst and elev mods wing stiff S Type pt MkIII IFF bomb carrier 501S 18-1-44 struck by P8324 landing Hawkinge CE 5-3-45 AST 290S 10-8-45 Reid Sigrist refurb to Portugal 28-4-47
AA863,Vb,2181,EA,M45,FF 10-10-41 39MU 11-10-41 118S 22-10-41 Went out of control and abandoned over sea after attack on Courcelles-sur-Mer believed hit by debris from target 29-1-42 Sgt H C Kerr RAAF killed
AA864,Vb,2190,EA,M45,FF 13-10-41 39MU 15-10-41 72S 19-10-41 Missing from sweep nr Hesdin 8-12-41
AA865,Vb,2193,EA,M45,FF 14-10-41 39MU 17-10-41 313S 26-10-41 Shot down by Fw190s 15m S of Gravelines 10-4-42
AA866,Vb,2194,EA,M45,FF 14-10-41 6MU 15-10-41 401S 23-10-41 CAC ops 28-12-41 ros ASTH RNAS 884S Lee on Solent 3-9-42 AST 10-9-42 hook fitt 885S 9-42 to 10-42/NAS Lee 30-9-42 801S stalled on to deck smashed DLC0s platform crashed in port nets hung upside down 20min Furious Cat Z 13-10-42 (S/L PH London OK) Jettisoned
AA867,Vb,2196,EA,M45,FF 15-10-41 6MU 17-10-41 72S 22-10-41 FAAC 14-1-42 ros 222S 14-3-42 Engine cut on sweep to St. Omer 1-5-42
AA868,Vb,2197,EA,M45,FF 15-10-41 6MU 17-10-41 19S 23-10-41 412S 24-12-41 Collided with BL859 and crashed Priory Farm nr Arundel Sussex CE 6-8-42 SOC 11-8-42
AA869,Vb,2202,EA,M45,FF 17-10-41 6MU 20-10-41 313S 24-10-41 Missing from sweep to Condette 18-3-42 Sgt M Zauf killed
AA870,Vb,2465,EA,M45,FF 4-1-42 6MU 30-1-42 VASM fuel syst and elev mods wing stiff MkIII IFF bomb carrier Crosby Co 20-2-42 SS441 20-3-42 Middle East 1-8-42 SOC 27-10-44
AA871,Vb,2214,EA,M45,FF 22-10-41 9MU 25-10-41 121S 5-11-41 Bellylanded at North Weald SOC 27-12-41
AA872,Vb,2204,EA,M45,FF 18-10-41 6MU 20-10-41 316S 26-10-41 306S 12-12-41 FACE 9-1-42 AST RNAS 885S Lee on Solent 5-9-42 AST 10-9-42 hook fitt Lee 25-9-42 768S loan to 885S DLT missed wires over bows sank Formidable Cat Z 25-10-42 (S/L JD Houston RNZN killed)
AA873,Vc,2222,EA,M45,FF 25-10-41 first prod with C wing(4x20mm can) RAE 11-41 wts and CG load AAEE 11-12-41 ordnance trials CRD R-RH 14-2-42 Cv IX M61 install AAEE 19-2-42 gun heat trials. With universal wing aircraft could be flown with three load CG R-R 29-3-42 64S AFDU Hornchurch 2-6-42 service trials R-RH 13-7-42 M63 install Rotol Staverton 15-4-43 M63 trials with various props. On contract loan to R-R 8-5-43 M66 install gen dev DeH Airscrews 1-1-45 contra props install written off scrap 29-1-45
AA874,Vc,2220,EA,M45,FF 24-10-41 8MU 26-10-41 VASM 11-11-41 mods CFS 17-12-41 ASTE 19-4-42 FAAC 24-7-42 ros 306S 8-8-42 Hand Sqdn Hullavington 14-9-42 VASM 15-6-43 fuel syst and rud mods Super 8-9-43 131S 27-9-43 312S 11-10-43 315S 6-12-43 61OTU 13-8-44 29MU 17-6-45
AA875,Vb,2226,EA,M45,"FF 26-10-41 Martlesham Heath gun heat combat rating perf trials AAEE 28-10-41 continuation of gun heat trials. Flow of hot air too fast due to extractor exit for Brownings. Deflector plates deleted cured problem CRD VA 8-12-41 AAEE 25-4-42 continuation of gun heat trials. Extractors deleted VASM 19-4-43 fuel syst mods wing stiff 302S 27-8-43 306S 3-10-43 12FU 7-1-45 1OADU 17-1-45 Armee de l""Air 19-1-45 GC2/18"
AA876,Vb,2223,EA,M45,FF 25-10-41 during test flight 6-2-42 George Pickering reached a speed of 520mph in a dive. The aircraft disintigrated He was severely injured and never flew again. SOC before delivery not to be replaced. Airframe to RAE 9-4-42 for accident invest
AA877,Vb,2227,EA,M45,FF 26-10-41 8MU 26-10-41 317S 12-11-41 332S 3-8-42 VASM 28-8-42 mods M46 install 334USAAF 22-11-42 AST 25-3-43 131S 3-7-43 CAC ops 12-7-43 ros 501S 6-1-44 1TEU 13-8-44 FAAC 2-3-45 ros 61OTU 29-3-45 SOC 17-5-45
AA878,Vc,2248,EA,M45,FF 31-10-41 first prod Vc CRD VA 31-10-41 required for one month for gun testing AAEE 1-4-42 climb level speed trials at combat rating with (1) Vc with univ wing (2x20mm and 4x.303 guns) (2) Vc (4x20mm) (3) Vb Gun heat trials FAAC 15-10-42 ros CRD VA 24-10-42 wing insufficiently stressed for firing of four can simultaneously 411S 4-6-43 341S 17-10-43 453S 27-10-43 overshot landing Sumburgh tip onto nose CB LMS 1TEU 17-8-44 SOC 25-10-45
AA879,Vb,2230,EA,M45,FF 27-10-41 33MU 29-10-41 616S 8-11-41 AST 13-1-42 118S 26-4-42 Damaged on sweep to St.Omer CB 9-5-42 recat E SOC 9-5-42 FH67.45
AA880,Vb,2231,EA,M45,FF 27-10-41 33MU 29-10-41 121S 15-11-41 GAL 8-7-42 93S 26-9-42 65S 3-12-42 FACB 1-4-43 Scottish Aviation 402S 26-6-43 air collision with AB897 N of Wellingore CE 21-2-44
AA881,Vb,2232,EA,M45,FF 28-10-41 33MU 29-10-41 71S 6-11-41 FACB 13-6-42 VASM 24-10-42 fuel syst mods 313S 4-4-43 66S 4-7-43 340S 15-11-43 FAAC 1-12-43 ros AST 595S 18-12-43 Reid Sigrist refurb to Portugal 3-1-48
AA882,Vb,2233,EA,M45,FF 28-10-41 33MU 29-10-41 303S 4-11-41 FACB 24-6-42 AST DeH 17-6-44 41OTU 22-2-45 631S 21-6-45 SOC 30-8-45
AA902,Vb,2215,CHA,M45,FF 22-10-41 33MU 25-10-41 41S 30-10-41 Abandoned after convoy patrol nr Winchester CE 23-5-42 SOC 31-8-42
AA903,Vb,2216,CHA,M45,FF 22-10-41 33MU 25-10-41 121S 3-11-41 AST 31-5-42 2USAAF 3-8-42 FACE 11-8-42 SOC 19-8-42
AA904,Vb,2224,CHA,M45,FF 25-10-41 38MU 27-10-41 121S 2-11-41 GAL 16-6-42 RNAS Lee on Solent 5-9-42 AST 18-9-42 hook fitt Henstridge 25-4-44 Lee 5-10-42 801S 10-42 807S Furious hit pitching deck u/c collapsed Cat X 13-10-42 (S/L H Rowland) 768S Machrihanish/Ayr/Abbotsinch 8-43 Bounced caught wire nosed over Cat Y1 27-10-43 (Lt RIM Scott) Port fairing damaged Argus 20-2-44 (S/L PG Adams) Engine shock loaded landing Argus Cat S 22-2-44 (Lt G Dennison) RY 21-4-44 761S Henstridge 25-4-44 FL Cat S 30-7-44 (Lt SG Hamblett)
AA905,Vb,2225,CHA,M45,FF 25-10-41 38MU 27-10-41 19S 3-11-41 610S 17-11-41 AST 26-1-42 RNAS Stretton 10-9-42 AST hook fitt Lee on Solent 17-10-42
AA906,Vb,2229,CHA,M45,FF 27-10-41 38MU 1-11-41 74S 25-11-41 overshot landing bounced and cartwheeled Ballyhalbert crashed CE 25-2-42 SOC 4-3-42
AA907,Vb,2237,CHA,M45,FF 28-10-41 38MU 30-10-41 91S 9-11-41 HAL 16-12-41 91S engine failed on patrol into sea off Margate 12-3-42
AA908,Vb,2238,CHA,M45,FF 29-10-41 38MU 1-11-41 303S 16-12-41 GAL 11-6-42 AST 7-7-42 76MU 31-10-42 City of Lille 8-12-42 USSR 16-2-43
AA909,Vb,2251,CHA,M45,FF 31-10-41 38MU 3-11-41 152S 9-11-41 313S 23-3-42 VASM 28-4-43 fuel syst mods wing stiff 302S 28-8-43 Missing while escorting B-26s to Lille 8-9-43 FH362.15
AA910,Vb,2252,CHA,M45M,"LFLRVb FF 31-10-41 39MU 2-11-41 501S 11-11-41 FACA 8-1-42 ros 130S 4-5-42 AST 17-11-42 412S 4-2-43 602S ""LO-A"" 19-4-43 350S 7-10-43 322S 11-1-44 CAC ops 22-3-44 ros 57OTU 23-7-44 SOC 1-6-45"
AA911,Vb,2253,CHA,M45,"FF 31-10-41 39MU 2-11-41 92S 22-11-41 417S 6-2-42 242S 17-4-42 243S ""SN-F"" 312S ""DU-D"" 31-12-42 66S 10-4-43 234S 12-5-43 317S 4-10-43 52OTU 5-10-43 FLS Millfield 2-2-44 Scottish Aviation 7-4-44 M46 install 12FU 13-1-45 Armee de l""Air 22-1-45"
AA912,Vb,2254,CHA,M45,FF 31-10-41 39MU 2-11-41 412S 11-11-41 FACB 5-3-42 AST VASM 19-2-43 fuel syst mods wing stiff 308S 27-8-43 Shot down by fighters nr Beauvais 23-9-43 F/Sgt K Lipiec killed
AA913,Vb,2255,CHA,M45,FF 31-10-41 6MU 2-11-41 72S 12-11-41 FACB 24-12-41 303S 8-4-42 VASM 2-9-42 mods 302S 23-12-42 CB ops 29-3-43 HAL VASM 6-8-43 fuel syst mods MkIII IFF bomb carrier RNDA 26-3-44 hook fitt 808S Lee 6-44 759S Yeovilton 24-7-44 to 11-44 SOC 3-5-45
AA914,Vb,2256,CHA,M45,FF 31-10-41 6MU 2-11-41 72S 12-11-41 VASM fuel syst mods MkIII IFF bomb carrier CAC 27-3-42 Swung while taxying in crosswind into excavation Biggin Hill FACE 15-4-42 SOC
AA915,Vb,2260,CHA,M45,FF 1-11-41 6MU 3-11-41 72S 12-11-41 145S 15-11-41 350S 7-2-42 306S 3-5-42 64S 31-7-42 411S 4-2-43 402S 25-3-43 19S 22-4-43 65S 30-6-43 130S 15-8-43 DeH 29-2-44 53OTU 11-8-44 527S 17-5-45 RWE Watton 18-4-46 sold scrap 3-9-47
AA916,Vb,2263,CHA,M45,FF 3-11-41 6MU 15-11-41 39MU 23-11-41 145S 17-12-41 53OTU FAAC 5-2-45 ros Lost power and bellylanded Metheringham Fen Lincs 27-4-45 recat E SOC 25-5-45
AA917,Vb,2266,CHA,M45,"FF 4-11-41 6MU 27-11-41 504S 6-1-42 501S ""SD-E"" 19-10-42 Shot down by fighters nr Gravelines during ground attack mission to Hazebrouck 11-7-43 FH365.40"
AA918,Vb,2274,CHA,M45M,FF 7-11-41 33MU 18-11-41 313S 29-1-42 412S 16-4-42 2USAAF 22-8-42 VASM 4-3-43 fuel syst mods 322S 7-7-43 FACB 6-1-44 ? ros 222S 1-1-44 VASM 15-3-44 Basta mods 83GSU 22-2-45 2TAF 5-7-45 BAFO Comm Wing 19-7-45 3BRU CE 12-9-45
AA919,Vb,2275,CHA,M45,FF 8-11-41 33MU 22-11-41 316S 8-12-41 306S 12-12-41 Missing presumed shot down by Bf109s escorting Bostons nr Caen 14-4-42 FH62.25 F/O E Jankowski killed
AA920,Vb,2276,CHA,M45M,"FF 8-11-41 33MU 18-11-41 72S 30-11-41 CAC ops 28-2-42 ros 124S ""ON-X"" 26-3-42 71S 31-8-42 334USAAF 1-10-42 CAC ops 16-11-42 AST 222S 4-4-43 167S 19-5-43 VASM 15-3-44 fuel syst Basta mods 1S 8-4-44 FAAC 13-4-44 ros 402S 5-6-44 57OTU 20-7-44 FACE 18-4-45 SOC 28-4-45"
AA921,Vb,2285,CHA,M45,FF 11-11-41 33MU 18-11-41 129S 5-12-41 Crashed in sea off Berck believed due to oxygen failure CE 13-2-42 Sgt H W Sangerhaus killed SOC 28-2-42
AA922,VbT,2200,HPA,M46,FF 17-10-41 9MU 20-10-41 121S 1-11-41 CAC ops 18-3-42 ros 403S 6-4-42 FAAC 2-4-43 ros 306S 19-8-43 118S 25-12-43 61OTU Overshot flapless landing and tipped up Montford Bridge FAAC 12-5-45 recat E SOC 19-6-45
AA923,Vb,2210,HPA,M45,FF 20-10-41 9MU 24-10-41 616S 8-11-41 Missing in cloud on patrol 20m E of Skegness Lincs CE 6-1-42 Sgt M M Waite RCAF killed SOC 31-1-42
AA924,Vb,2228,HPA,M45,FF 27-10-41 9MU 501S 7-11-41 FACB 1-4-42 ros 72S 26-4-42 306S 18-5-42 133S 29-9-42 336S 1-10-42 air collision with Mosquito HJ643 crashed nr Atcham CE 8-8-43
AA925,Vb,2212,HPA,M45,FF 21-10-41 38MU 24-10-41 401S 28-10-41 Missing from sweep 8-11-41 Sgt R W Gardner killed
AA926,Vb,2217,HPA,M45,FF 23-10-41 38MU 24-10-41 401S 28-10-41 Overshot landing and groundlooped u/c collapsed Gravesend FAAC 11-5-42 CE 18-8-42 SOC FH235.10
AA927,Vb,2218,HPA,M45,FF 23-10-41 38MU 29-10-41 19S 3-11-41 AST 5-7-42 222S 2-9-42 64S 31-3-43 SOC 17-10-45 to 3779M
AA928,Vb,2235,HPA,M45,FF 28-10-41 38MU 30-10-41 452S 9-11-41 CAC ops 29-3-42 ros 411S 31-5-42 FACB 5-8-42 VASM 4-4-43 fuel syst mods wing stiff 302S 24-8-43 Missing while escorting B-26s to Lille 8-9-43 FH231.05
AA929,Vb,2236,HPA,M45,FF 28-10-41 39MU 2-11-41 316S 12-11-41 306S 12-12-41 FAAC 25-4-42 ros 315S CA ops 14-8-42 317S 5-9-42 412S 29-6-43 303S 3-12-43 405RSU 13-7-44 63S 4-10-44 58OTU 22-3-45 to 5382M 13-7-45 SOC 5SoTT 29-11-45
AA930,Vb,2239,HPA,M45M,FF 29-10-41 39MU 30-10-41 122S 22-11-41 306S 30-4-42 VASM 30-9-42 fuel syst mods wing stiff 412S 22-4-43 317S 28-6-43 312S 4-10-43 277S 17-5-44 Scottish Aviation 29-7-44 41OTU 27-3-45 61OTU 10-5-45 603S 21-6-45 SOC 19-9-45
AA931,Vb,2240,HPA,M45M,"FF 29-10-41 6MU 30-10-41 41S 6-11-41 FAAC 2-2-42 GAL 19S 24-6-42 131S 6-9-42 610S 27-1-43 350S 27-3-43 316S ""SZ-A"" 5-10-43 322S 25-11-43 222S 1-1-44 VASM 23-3-44 fuel syst Basta mods 278S 27-9-44 53OTU 22-2-45 FAAC ros 41OTU 24-5-45 to 5336M SOC 4-7-50"
AA932,Vb,2246,HPA,M45,FF 30-10-41 6MU 2-11-41 616S 7-11-41 FAAC 23-8-42 41S 23-8-42 ASTH Cv Seafire Ib reserialled PA108 VASM 12-3-43 mods and trials
AA933,Vb,2257,HEA,M45,FF 31-10-41 6MU 7-11-41 145S 22-11-41 FACB 1-2-42 350S 10-2-42 234S 26-9-42 303S 10-12-42 FAAC 29-3-43 504S 31-8-43 313S 22-9-43 144AF 25-2-44 442S 27-3-44 VA 28-3-44 61OTU 25-6-44 dived into ground out of cloud nr Wrexham CE 18-11-44
AA934,Vb,2258,HEA,M45,FF 31-10-41 6MU 7-11-41 145S 22-11-41 350S 11-2-42 Damaged by flak on sweep CB 30-4-42
AA935,Vb,2245,HPA,M45,FF 30-10-41 6MU 2-11-41 452S 12-11-41 457S 22-3-42 303S 15-4-42 FACB 7-6-42 AST VASM 11-3-43 fuel syst mods wing stiff 308S 24-8-43 Shot down on sweep to Beauvais 23-9-43 FH262.50
AA936,Vb,2247,HPA,M45M,"FF 30-10-41 9MU 2-11-41 616S 9-11-41 FACB 27-1-42 VASM 11-6-42 fuel syst mods 331S ""FN-L"" 20-8-42 453S ""FU-B"" 12-10-42 222S 31-3-43 167S 19-5-43 234S 8-1-44 Engine cut ditched off St.Catherines Point Isle of Wight CE 6-6-44"
AA937,Vb,2269,HPA,M45,LFVb FF 5-11-41 33MU 18-11-41 64S 5-12-41 RAE 7-11-42 AAEE 11-42 perf trials with normal and clip wings AFDU -43 u/c jammed belly landed Benson 28-4-45
AA938,Vb,2264,HPA,M45,FF 3-11-41 234S 23-11-41 Collided with BL693 and crashed nr Ibsley FACE 18-4-42 Sgt E A L Fairman killed SOC 24-4-42
AA939,Vb,2272,HPA,M45,FF 6-11-41 38MU 15-11-41 74S 25-11-41 232S 8-4-42 Stalled on landing and u/c collapsed Atcham FACB 7-5-42 recat E 15-5-42
AA940,Vb,2273,HPA,M45,FF 7-11-41 38MU 15-11-41 303S 5-12-41 HAL 13-4-42 Shot down by Bf109 nr Lille 27-4-42
AA941,Vb,2289,HPA,M45,FF 12-11-41 38MU 20-11-41 317S 3-12-41 Hit by W3425 on runway Exeter CE 18-12-41 SOC 27-12-41
AA942,Vb,2280,HPA,M45,FF 8-11-41 38MU 15-11-41 602S 5-12-41 610S 30-3-42 Crashed in sea during shipping recce off Dutch coast CE 18-4-42 SOC FH86.0
AA943,Vb,2290,HPA,M45,FF 12-11-41 39MU 18-11-41 315S 26-11-41 317S 5-9-42 412S 29-6-43 M55 install 61OTU 28-9-44 u/c leg collapsed during heavy landing Rednal FACB 13-4-45 recat E SOC 29-4-45
AA944,Vb,2295,HPA,M45M,FF 15-11-41 5MU 18-11-41 234S 8-12-41 421S 10-6-42 FAAC 6-7-42 ros AST 21-7-42 41S 7-11-42 122S 14-3-43 222S 19-5-43 349S 19-8-43 26S 12-4-44 CAC ops 7-6-44 ros 41OTU 25-1-45 58OTU 23-3-45 Damaged u/c leg on landing went round again and landed on one wheel Hawarden FACB 11-5-45
AA945,Vb,2296,HPA,M45,"FF 15-11-41 5MU 22-11-41 72S ""RN-C"" 11-12-41 306S 22-8-42 FACB 1-10-42 ros PPSM 10-12-42 350S ""MN-K"" 12-4-43 504S 20-12-43 129S 26-1-44 Scottish Aviation 8-2-44 501S 27-4-44 345S 15-8-44 61OTU 28-9-44 SOC 30-7-45"
AA946,Vb,2309,HPA,M45,FF 18-11-41 5MU 22-11-41 234S 8-12-41 FAAC 27-12-41 ros CAC ops 21-7-42 ros 130S 15-8-42 VASM 13-3-43 fuel syst mods wing stiff 222MU 3-10-43 Baron Forbes 16-10-43 Portugal 9-11-43
AA963,Vc,2277,EA,M45,FF 8-11-41 9MU 12-11-41 47MU 21-2-42 special committment Evanger America 2-42 exhibited Chicago 5-42 stayed in USA
AA964,Vb,2241,EA,M45,FF 29-10-41 118S 7-11-41 CAC ops 2-2-42 ros 111S 16-3-42 HAL 19-11-42 67ObsUSAAF 17-5-43 RNDA 21-4-44 hook fitt 806S 2-44 to 3-44 (sic) 808S Henstridge 2-5-44 to 7-44 Yeovilton store engine trouble FL Cat S 24-8-44 (Lt TAG Randell) 759S Yeovilton 9-44 to 11-44 Tipped on nose taxying 28-9-44 (S/L WC Whitlam) 761S Henstridge 1-45 794S St.Merryn 4-45 798S Lee 2-6-45
AA965,Vb,2242,EA,M45,FF 30-10-41 9MU 1-11-41 616S 9-11-41 HAL 24-4-42 609S 26-4-42 616S 28-4-42 243S 13-7-42 ASTH 4-10-42 VASM 27-3-43 fuel syst mods wing stiff 504S 1-7-43 165S 1-7-43 CAC ops 16-9-43 ros 66S 23-10-43 340S 15-11-43 52OTU 6-2-44 FLS 22-2-44 out of fuel overturned force-landed Lowick Northumberland CE 2-6-44
